ID,Latitude,Longitude
312563,38.542381,-121.473702
312564,38.545438,-121.473985
312566,38.55419,-121.474301
312569,38.55432,-121.474319
312570,38.446976,-121.405903
312648,38.45578,-121.409874
312649,38.455943,-121.409951
312650,38.453121,-121.408617
312651,38.45731,-121.410614
312652,38.457688,-121.4108
312689,38.568104,-121.469267
312692,38.569227,-121.468765
312694,38.574692,-121.466428
312706,38.574692,-121.466428
312709,38.574692,-121.466428
312745,38.579355,-121.46446
312746,38.579355,-121.46446
312757,38.596473,-121.443813
312758,38.596473,-121.443813
312771,38.597692,-121.443168
312772,38.597692,-121.443168
312773,38.598802,-121.442169
312782,38.604957,-121.433193
312804,38.610789,-121.426939
312805,38.610789,-121.426939
312806,38.610789,-121.426939
312807,38.612657,-121.424917
312808,38.612657,-121.424917
312852,38.560257,-121.472941
312853,38.559958,-121.473079
312854,38.575167,-121.466517
312855,38.574621,-121.466759
312856,38.584661,-121.458691
312857,38.585454,-121.451307
312858,38.601169,-121.437541
312865,38.591949,-121.445317
312895,38.615045,-121.422286
312896,38.624557,-121.415907
312897,38.624422,-121.416238
312898,38.626589,-121.410943
312899,38.626589,-121.410943
312900,38.630273,-121.402873
312901,38.630273,-121.402873
312940,38.631143,-121.399923
312941,38.631143,-121.399923
312942,38.635616,-121.388435
312943,38.63524,-121.389149
312944,38.638354,-121.384634
312945,38.638464,-121.384514
312946,38.639341,-121.383856
312947,38.639341,-121.383856
313000,38.55899,-121.378233
313001,38.55899,-121.378233
313002,38.55899,-121.378233
313003,38.564145,-121.340221
313004,38.564145,-121.340221
313005,38.566451,-121.335551
313006,38.566451,-121.335551
313007,38.566451,-121.335551
313010,38.578546,-121.308187
313011,38.578546,-121.308187
313012,38.578546,-121.308187
313035,38.590875,-121.287757
313036,38.590875,-121.287757
313037,38.591754,-121.286292
313038,38.591754,-121.286292
313054,38.629848,-121.218803
313055,38.631181,-121.216272
313056,38.631141,-121.216351
313080,38.630481,-121.218031
313081,38.630481,-121.218031
313082,38.631299,-121.216481
313083,38.631299,-121.216481
313084,38.631299,-121.216481
313111,38.64038,-121.479262
313112,38.64038,-121.479262
313113,38.64038,-121.479262
313114,38.640613,-121.477438
313115,38.640613,-121.477438
